seeds: [862559, 454354, 737532, 275105, 523498], arguments: (env_name='space_invaders', lr=0.0002, epoch=1500, batch_size=32, eval_cycle=25, transitions=2500, episodes=2500, VQVAE_cycle=1, MDP_cycle=750, max_iterations=375, initial_iterations=12000, warmup=25000, min_visits=5, num_envs=6, debug=False)
Epoch: 61, Duration: 17.7674, Steps done w/o warmup: 155124, Epsilon: 38.78%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.9047173261642456, Entropy bonus: -0.4915145933628082
Epoch: 62, Duration: 17.0101, Steps done w/o warmup: 157626, Epsilon: 38.22%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.8948939442634583, Entropy bonus: -0.4914047420024872
Epoch: 63, Duration: 18.2130, Steps done w/o warmup: 160128, Epsilon: 37.67%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.8430396318435669, Entropy bonus: -0.49429455399513245
Epoch: 64, Duration: 17.0837, Steps done w/o warmup: 162630, Epsilon: 37.13%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.7175910472869873, Entropy bonus: -0.49656057357788086
Epoch: 65, Duration: 18.1662, Steps done w/o warmup: 165132, Epsilon: 36.60%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 1.3227927684783936, Entropy bonus: -0.4822445809841156
Epoch: 66, Duration: 17.1204, Steps done w/o warmup: 167634, Epsilon: 36.07%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.8978583812713623, Entropy bonus: -0.4920152723789215
Epoch: 67, Duration: 19.1107, Steps done w/o warmup: 170136, Epsilon: 35.56%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.983252763748169, Entropy bonus: -0.49084359407424927
Epoch: 68, Duration: 17.7619, Steps done w/o warmup: 172638, Epsilon: 35.05%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.8407121300697327, Entropy bonus: -0.49278298020362854
Epoch: 69, Duration: 18.5469, Steps done w/o warmup: 175140, Epsilon: 34.56%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.9458540678024292, Entropy bonus: -0.4914190471172333
Epoch: 70, Duration: 18.7368, Steps done w/o warmup: 177642, Epsilon: 34.07%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 2.693132162094116, Entropy bonus: -0.48559266328811646
Epoch: 71, Duration: 18.2308, Steps done w/o warmup: 180144, Epsilon: 33.59%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 1.0515484809875488, Entropy bonus: -0.486312597990036
Epoch: 72, Duration: 18.9849, Steps done w/o warmup: 182646, Epsilon: 33.11%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.958713173866272, Entropy bonus: -0.4895319640636444
Epoch: 73, Duration: 18.1611, Steps done w/o warmup: 185148, Epsilon: 32.65%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 1.0148720741271973, Entropy bonus: -0.48894259333610535
Epoch: 74, Duration: 19.1127, Steps done w/o warmup: 187650, Epsilon: 32.19%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 1.148700475692749, Entropy bonus: -0.4855895936489105
Epoch: 75, Duration: 60.3315, Steps done w/o warmup: 190152, Epsilon: 31.74%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 1.1902680397033691, Entropy bonus: -0.48798614740371704
Epoch: 76, Duration: 18.6229, Steps done w/o warmup: 192654, Epsilon: 31.30%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 1.2445647716522217, Entropy bonus: -0.48607906699180603
Epoch: 77, Duration: 20.4394, Steps done w/o warmup: 195156, Epsilon: 30.86%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 1.0983977317810059, Entropy bonus: -0.48522329330444336
Epoch: 78, Duration: 18.7229, Steps done w/o warmup: 197658, Epsilon: 30.44%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 1.2418110370635986, Entropy bonus: -0.4844813048839569
Epoch: 79, Duration: 18.8752, Steps done w/o warmup: 200160, Epsilon: 30.02%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 1.0179009437561035, Entropy bonus: -0.48797377943992615
Epoch: 80, Duration: 20.1056, Steps done w/o warmup: 202662, Epsilon: 29.60%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 1.1288042068481445, Entropy bonus: -0.4853770434856415
Epoch: 81, Duration: 18.1576, Steps done w/o warmup: 205164, Epsilon: 29.20%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 1.03025221824646, Entropy bonus: -0.4876030385494232
Epoch: 82, Duration: 18.8768, Steps done w/o warmup: 207666, Epsilon: 28.80%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.9313468337059021, Entropy bonus: -0.4912603497505188
Epoch: 83, Duration: 18.8611, Steps done w/o warmup: 210168, Epsilon: 28.40%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 1.1492042541503906, Entropy bonus: -0.48651620745658875
Epoch: 84, Duration: 20.1634, Steps done w/o warmup: 212670, Epsilon: 28.01%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 2.553138494491577, Entropy bonus: -0.484637975692749
