seeds: [862559, 454354, 737532, 275105, 523498], arguments: (env_name='pong', lr=0.0002, epoch=1500, batch_size=32, eval_cycle=25, transitions=2500, episodes=2500, VQVAE_cycle=1, MDP_cycle=750, max_iterations=375, initial_iterations=12000, warmup=25000, min_visits=5, num_envs=6, debug=False)
Epoch: 60, Duration: 17.6087, Steps done w/o warmup: 152622, Epsilon: 39.34%, Codebook usage: 14 / 16, Transitions known: 40.35%, Usage penalty: 8.390250205993652, Entropy bonus: -0.39911091327667236
Epoch: 61, Duration: 19.3426, Steps done w/o warmup: 155124, Epsilon: 38.78%, Codebook usage: 14 / 16, Transitions known: 42.11%, Usage penalty: 7.20152473449707, Entropy bonus: -0.3775602877140045
Epoch: 62, Duration: 17.6636, Steps done w/o warmup: 157626, Epsilon: 38.22%, Codebook usage: 15 / 16, Transitions known: 42.11%, Usage penalty: 8.500959396362305, Entropy bonus: -0.3895024359226227
Epoch: 63, Duration: 17.9182, Steps done w/o warmup: 160128, Epsilon: 37.67%, Codebook usage: 13 / 16, Transitions known: 42.11%, Usage penalty: 8.491769790649414, Entropy bonus: -0.3833923637866974
Epoch: 64, Duration: 19.7868, Steps done w/o warmup: 162630, Epsilon: 37.13%, Codebook usage: 14 / 16, Transitions known: 42.11%, Usage penalty: 8.400005340576172, Entropy bonus: -0.3921620845794678
Epoch: 65, Duration: 18.2957, Steps done w/o warmup: 165132, Epsilon: 36.60%, Codebook usage: 13 / 16, Transitions known: 42.11%, Usage penalty: 10.14323616027832, Entropy bonus: -0.3778556287288666
Epoch: 66, Duration: 19.3208, Steps done w/o warmup: 167634, Epsilon: 36.07%, Codebook usage: 14 / 16, Transitions known: 42.11%, Usage penalty: 8.578264236450195, Entropy bonus: -0.3751903176307678
Epoch: 67, Duration: 17.4419, Steps done w/o warmup: 170136, Epsilon: 35.56%, Codebook usage: 15 / 16, Transitions known: 42.11%, Usage penalty: 10.100423812866211, Entropy bonus: -0.37493428587913513
Epoch: 68, Duration: 17.7693, Steps done w/o warmup: 172638, Epsilon: 35.05%, Codebook usage: 14 / 16, Transitions known: 42.11%, Usage penalty: 8.546483993530273, Entropy bonus: -0.37547650933265686
Epoch: 69, Duration: 19.7588, Steps done w/o warmup: 175140, Epsilon: 34.56%, Codebook usage: 14 / 16, Transitions known: 42.11%, Usage penalty: 10.172645568847656, Entropy bonus: -0.37326258420944214
